product_id,variant_group_id,skuid,product_name,brand,category_l1,gender,category_l2,category_l3,category_l4,fit,fabric,color,pattern,size,selling_price,price_bucket,discount_percent,ratings,stock_status,searchable_text,synonyms,product_url,product_description,image_urls,total_reviews,product_series,care_instructions,designer,package_description,subtitle,author_name,author_about,publisher_date,language,dimensions,store,display_title,created_at
ISBN_9780062316097,BOOK_HARARI_001,62316095,Sapiens: A Brief History of Humankind,Harper,books,UNISEX,History,World History,Human Evolution,Regular,Paper,Multi-color,Print,Standard,899.5,500-1000,15,4.7,IN_STOCK,Sapiens Yuval Noah Harari history human evolution civilization,"['sapiens book','yuval noah harari sapiens']",https://www.amazon.in/s?k=Sapiens+A+Brief+History+of+Humankind+Yuval+Noah+Harari,Harari explores the history of humankind from the Stone Age to the modern technological era explaining how biology and culture shaped human societies.,https://covers.openlibrary.org/b/isbn/9780062316097-L.jpg,5421,Sapiens Series,Handle with care keep away from moisture,Harper Collins,Paperback 512 pages English,Sapiens A Brief History of Humankind,Yuval Noah Harari,Yuval Noah Harari is a historian and bestselling author known for his works on world history and the future of humanity.,10-Feb-15,English,5.5 x 1.2 x 8.3 inches,Amazon,Sapiens: A Brief History of Humankind by Yuval Noah Harari (Paperback),3/16/2026
ISBN_9781982137274,BOOK_CLEAR_002,1982137274,Atomic Habits: An Easy & Proven Way to Build Good Habits,Avery,books,UNISEX,Self Help,Personal Development,Habit Building,Regular,Paper,White,Print,Standard,750,500-1000,20,4.8,IN_STOCK,Atomic Habits James Clear productivity habit building self improvement,"['atomic habits book','james clear atomic habits']",https://www.amazon.in/s?k=Atomic+Habits+James+Clear,A practical guide that teaches how small daily improvements can lead to remarkable results through proven habit building techniques.,https://covers.openlibrary.org/b/isbn/9780735211292-L.jpg,8340,Productivity Series,Store in a dry place,Avery Publishing,Paperback 320 pages English,Atomic Habits Build Good Habits Break Bad Ones,James Clear,James Clear is a writer and speaker focused on habits decision making and continuous improvement.,16-Oct-18,English,5.4 x 0.9 x 8.2 inches,Amazon,Atomic Habits: Build Good Habits & Break Bad Ones by James Clear (Paperback),3/16/2026
ISBN_9780590353427,BOOK_ROWLING_003,059035342X,Harry Potter and the Sorcerer's Stone,Scholastic,books,UNISEX,Fantasy,Young Adult Fantasy,Magic Adventure,Regular,Paper,Multi-color,Print,Standard,650,500-1000,18,4.9,IN_STOCK,Harry Potter Sorcerers Stone JK Rowling fantasy wizard magic school,"['harry potter book 1','sorcerers stone jk rowling']",https://www.amazon.in/s?k=Harry+Potter+and+the+Sorcerers+Stone+J+K+Rowling,The first book in the Harry Potter series introducing the young wizard Harry as he discovers magic friendship and adventure at Hogwarts School.,https://covers.openlibrary.org/b/isbn/9780439708180-L.jpg,12560,Harry Potter Series,Keep away from water,Scholastic Publishing,Paperback 309 pages English,Harry Potter and the Sorcerer's Stone,J K Rowling,J K Rowling is the British author of the globally popular Harry Potter fantasy series loved by readers worldwide.,1-Sep-98,English,5.2 x 1.0 x 7.8 inches,Amazon,Harry Potter and the Sorcerer's Stone by J K Rowling (Harry Potter Series),3/16/2026
ISBN_9780307474278,BOOK_BROWN_004,307474275,The Da Vinci Code,Doubleday,books,UNISEX,Mystery,Thriller,Crime Mystery,Regular,Paper,Brown,Print,Standard,899,500-1000,12,4.6,IN_STOCK,Da Vinci Code Dan Brown mystery thriller secret society,"['da vinci code book','dan brown da vinci code']",https://www.amazon.in/s?k=The+Da+Vinci+Code+Dan+Brown,The famous thriller following symbologist Robert Langdon uncovering secrets hidden in works of art.,https://covers.openlibrary.org/b/isbn/9780307474278-L.jpg,9850,Robert Langdon Series,Keep dry,Doubleday Publishing,Paperback 454 pages English,Mystery thriller novel,Dan Brown,Dan Brown is an American author known for writing suspense thrillers including the Robert Langdon series.,18-Mar-03,English,5.5 x 1.3 x 8.2 inches,Amazon,The Da Vinci Code by Dan Brown (Robert Langdon Series),3/16/2026
ISBN_9780140449136,BOOK_ORWELL_005,140449132,1984,Penguin,books,UNISEX,Dystopian Fiction,Political Fiction,Classic Literature,Regular,Paper,Grey,Print,Standard,499,0-500,10,4.7,IN_STOCK,1984 george orwell dystopian totalitarian society,"['orwell 1984 novel','1984 dystopian book']",https://www.amazon.in/s?k=1984+George+Orwell+book,A dystopian novel depicting a future society under constant surveillance and authoritarian rule.,https://covers.openlibrary.org/b/isbn/9780451524935-L.jpg,12450,Classic Literature Series,Avoid moisture,Penguin Books,Paperback 328 pages English,Dystopian political novel,George Orwell,George Orwell was an English novelist essayist and critic known for works like 1984 and Animal Farm.,8-Jun-49,English,5.0 x 0.9 x 7.7 inches,Amazon,1984 by George Orwell (Classic Literature Edition),3/16/2026
ISBN_9780061120084,BOOK_LEE_006,61120081,To Kill a Mockingbird,Harper Perennial,books,UNISEX,Classics,Social Issues,Historical Fiction,Regular,Paper,Blue,Print,Standard,620,500-1000,8,4.8,IN_STOCK,To Kill a Mockingbird Harper Lee classic racism justice,"['mockingbird novel','harper lee mockingbird']",https://www.amazon.in/s?k=To+Kill+a+Mockingbird+Harper+Lee+book,A novel about justice and racial inequality in the American South through the eyes of a young girl.,https://covers.openlibrary.org/b/isbn/9780061120084-L.jpg,15300,Classic Literature Series,Handle carefully,Harper Perennial,Paperback 336 pages English,Pulitzer prize winning novel,Harper Lee,Harper Lee was an American novelist best known for To Kill a Mockingbird.,11-Jul-60,English,5.3 x 0.8 x 8.0 inches,Amazon,To Kill a Mockingbird by Harper Lee (Classic Literature Edition),3/16/2026
ISBN_9780553386790,BOOK_HAWKING_007,553386794,A Brief History of Time,Bantam,books,UNISEX,Science,Physics,Cosmology,Regular,Paper,Black,Print,Standard,799,500-1000,15,4.6,IN_STOCK,Brief History of Time Stephen Hawking cosmology physics universe,"['hawking brief history time','cosmology hawking book']",https://www.amazon.in/s?k=A+Brief+History+of+Time+Stephen+Hawking,Stephen Hawking explains complex cosmological concepts including black holes and the origin of the universe.,https://covers.openlibrary.org/b/isbn/9780553380163-L.jpg,8300,Science Classics Series,Keep away from heat,Bantam Publishing,Paperback 212 pages English,Understanding the universe,Stephen Hawking,Stephen Hawking was a theoretical physicist known for his contributions to cosmology and black hole theory.,1-Apr-88,English,5.2 x 0.7 x 7.9 inches,Amazon,A Brief History of Time by Stephen Hawking (Cosmology Classic),3/16/2026
ISBN_9780544003415,BOOK_TOLKIEN_008,544003411,The Hobbit,Houghton Mifflin,books,UNISEX,Fantasy,Adventure,Epic Fantasy,Regular,Paper,Green,Print,Standard,720,500-1000,14,4.8,IN_STOCK,The Hobbit Tolkien fantasy adventure middle earth,"['hobbit novel','tolkien hobbit book']",https://www.amazon.in/s?k=The+Hobbit+J+R+R+Tolkien+book,A fantasy adventure following Bilbo Baggins on a quest with dwarves to reclaim treasure guarded by a dragon.,https://covers.openlibrary.org/b/isbn/9780547928227-L.jpg,14800,Middle Earth Series,Store safely,Houghton Mifflin,Paperback 310 pages English,Adventure in Middle Earth,J R R Tolkien,J R R Tolkien was an English writer philologist and author of The Hobbit and The Lord of the Rings.,21-Sep-37,English,5.1 x 0.8 x 7.8 inches,Amazon,The Hobbit by J R R Tolkien (Middle Earth Adventure),3/16/2026
ISBN_9780062316110,BOOK_HARARI_009,62316117,Homo Deus: A Brief History of Tomorrow,Harper,books,UNISEX,Future Studies,Technology,Social Evolution,Regular,Paper,White,Print,Standard,950,500-1000,10,4.6,IN_STOCK,Homo Deus Yuval Noah Harari future technology society,"['homo deus book','harari homo deus']",https://www.amazon.in/s?k=Homo+Deus+A+Brief+History+of+Tomorrow+Yuval+Noah+Harari,An exploration of humanity’s future examining technology artificial intelligence and social evolution.,https://covers.openlibrary.org/b/isbn/9780062464316-L.jpg,6320,Sapiens Series,Handle carefully,Harper Collins,Paperback 450 pages English,History of the future,Yuval Noah Harari,Yuval Noah Harari is a historian known for analyzing past and future human societies.,6-Sep-16,English,5.5 x 1.1 x 8.3 inches,Amazon,Homo Deus: A Brief History of Tomorrow by Yuval Noah Harari,3/16/2026
ISBN_9780143127741,BOOK_GLADWELL_010,143127748,Outliers,The Tipping Point Books,books,UNISEX,Psychology,Success Studies,Behavior Science,Regular,Paper,Orange,Print,Standard,650,500-1000,11,4.5,IN_STOCK,Outliers Malcolm Gladwell success psychology achievement,"['outliers gladwell book','malcolm gladwell outliers']",https://www.amazon.in/s?k=Outliers+Malcolm+Gladwell+book,Examines factors contributing to high levels of success including culture timing and practice.,https://covers.openlibrary.org/b/isbn/9780316017930-L.jpg,9210,Success Psychology Series,Keep dry,Penguin Publishing,Paperback 309 pages English,The story of success,Malcolm Gladwell,Malcolm Gladwell is a journalist and author known for books exploring psychology and social science.,18-Nov-08,English,5.3 x 0.8 x 8.0 inches,Amazon,Outliers: The Story of Success by Malcolm Gladwell,3/16/2026
